Threshold,Sharpe Ratio,Max Drawdown,Total Return,Avg Holding Period
0.0001,0.5457273017821167,-0.7178996468781139,0.7015716513289407,3.6382978723404253
0.0002,0.3177581693816286,-0.7003269164177387,0.16405398551515704,4.764705882352941
0.00030000000000000003,0.29360735299911017,-0.7318283800671127,0.11798368154801642,5.451851851851852
0.0004,0.330414887436652,-0.6942344918758481,0.18982350827613348,7.018518518518518
0.0005,0.2324306578968428,-0.6871526066916079,0.011468739110525705,8.23913043478261
0.0006000000000000001,0.5683700490584905,-0.6482714386842379,0.7598087243605645,9.974358974358974
0.0007000000000000001,0.5553241511319135,-0.6674992523376575,0.7163278455308406,11.235294117647058
0.0008,0.5078390602566767,-0.635933256141181,0.5883432281086112,12.14516129032258
0.0009000000000000001,0.4926213483700572,-0.635933256141182,0.5501613869738902,13.910714285714286
0.001,0.36542958144851545,-0.6667367360085363,0.26254567635177883,16.5531914893617
0.0011,0.6347645945792633,-0.6263494642955326,0.9404395601288005,18.61904761904762
0.0012000000000000001,0.7036479760641047,-0.6087166952512773,1.1729460661660807,22.135135135135137
0.0013000000000000002,0.5557982424804876,-0.647555940429949,0.7165670864725517,26.40625
0.0014000000000000002,0.633032455193447,-0.6404341102738271,0.9434652229618579,26.741935483870968
0.0015,0.7637430988056322,-0.6447746819056883,1.367594466747073,28.464285714285715
0.0016,0.7002144106452304,-0.584307062435827,1.0501626198681433,29.333333333333332
0.0017000000000000001,0.791878139968766,-0.6651653486550817,1.359548381644244,32.54545454545455
0.0018000000000000002,0.7820105964214153,-0.6651653486550817,1.331394886901073,38.473684210526315
0.0019000000000000002,0.8700969030298276,-0.6651653486550815,1.5379422176812785,38.11764705882353
0.002,0.8700969030298276,-0.6651653486550815,1.5379422176812785,38.11764705882353
0.0021,1.201430751998151,-0.5001991342595505,2.7880431083810135,42.46666666666667
0.0022,1.2707411379170275,-0.45993665444674225,3.193543184594132,41.93333333333333
0.0023,1.2707411379170275,-0.45993665444674225,3.193543184594132,41.93333333333333
0.0024,1.1748636265350303,-0.4640976125248262,2.7841955780208347,45.92857142857143
0.0025,1.160044790615828,-0.46409761252482573,2.729491448859185,46.285714285714285
0.0026,0.9300304733211083,-0.5437860184403196,1.8494603055252457,50.84615384615385
0.0027,0.9300304733211083,-0.5437860184403196,1.8494603055252457,50.84615384615385
0.0028,1.0127799632836523,-0.5437860184403192,2.240123301786336,60.81818181818182
0.0029,1.0883795983623241,-0.5062457145511108,2.5067420778521754,63.3
0.003,1.1051268829614285,-0.5211476084896183,2.4009058348991736,64.55555555555556
0.0031,1.1854511896848454,-0.4728693231587261,2.743787911279484,67.375
0.0032,1.1854511896848454,-0.4728693231587261,2.743787911279484,67.375
0.0033,1.1854511896848454,-0.4728693231587261,2.743787911279484,67.375
0.0034,0.8984291654902511,-0.4728693231587261,1.4788289434678852,68.71428571428571
0.0035,1.3970441413243286,-0.25242812346092847,2.796358911988725,72.33333333333333
0.0036,1.3970441413243286,-0.25242812346092847,2.796358911988725,72.33333333333333
0.0037,1.3297943199070528,-0.2524281234609287,2.459588449179792,85.0
0.0038,1.5419148092883919,-0.20002746848357156,2.817604941093275,96.25
0.0039,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.004,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.0041,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.004200000000000001,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.004300000000000001,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.0044,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.0045000000000000005,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.004600000000000001,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.0047,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.0048000000000000004,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.004900000000000001,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.005,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.0051,1.362110915809633,-0.20002746848357156,2.342470001846043,136.0
0.005200000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.005300000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.0054,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.0055000000000000005,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.005600000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.0057,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.0058000000000000005,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.005900000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.006,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.0061,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.006200000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.006300000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.0064,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.006500000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.006600000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.0067,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.0068000000000000005,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.006900000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.007000000000000001,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.0071,1.3471939191065032,-0.20002746848357122,2.2926264103749396,135.66666666666666
0.007200000000000001,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.007300000000000001,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0074,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.007500000000000001,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.007600000000000001,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0077,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0078000000000000005,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0079,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.008,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0081,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.008199999999999999,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0083,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0084,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0085,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0086,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0087,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0088,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0089,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.009,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0091,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0092,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0093,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0094,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0095,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0096,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0097,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0098,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.009899999999999999,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.01,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0101,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0102,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0103,1.302393931159952,-0.20002746848357122,2.1447321700306436,202.5
0.0104,0.6094750128803272,-0.01079427457418436,0.04978056650376894,1.0
0.0105,0.6094750128803272,-0.01079427457418436,0.04978056650376894,1.0
0.0106,0.6094750128803272,-0.01079427457418436,0.04978056650376894,1.0
0.0107,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0108,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0109,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.011,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0111,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0112,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0113,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0114,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0115,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0116,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0117,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0118,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.011899999999999999,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.012,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0121,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0122,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0123,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0124,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0125,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0126,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0127,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0128,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0129,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.013,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0131,0.19535108141109733,-0.010794274574184137,0.007988061559128123,1.0
0.0132,,0.0,0.0,0.0
