time,num_addresses
2008-12-29 00:00:00.000 UTC,0
2009-01-05 00:00:00.000 UTC,0
2009-01-12 00:00:00.000 UTC,0
2009-01-19 00:00:00.000 UTC,0
2009-01-26 00:00:00.000 UTC,0
2009-02-02 00:00:00.000 UTC,3
2009-02-09 00:00:00.000 UTC,0
2009-02-16 00:00:00.000 UTC,0
2009-02-23 00:00:00.000 UTC,0
2009-03-02 00:00:00.000 UTC,0
2009-03-09 00:00:00.000 UTC,0
2009-03-16 00:00:00.000 UTC,0
2009-03-23 00:00:00.000 UTC,0
2009-03-30 00:00:00.000 UTC,0
2009-04-06 00:00:00.000 UTC,0
2009-04-13 00:00:00.000 UTC,1
2009-04-20 00:00:00.000 UTC,0
2009-04-27 00:00:00.000 UTC,1
2009-05-04 00:00:00.000 UTC,0
2009-05-11 00:00:00.000 UTC,1
2009-05-18 00:00:00.000 UTC,0
2009-05-25 00:00:00.000 UTC,0
2009-06-01 00:00:00.000 UTC,0
2009-06-08 00:00:00.000 UTC,0
2009-06-15 00:00:00.000 UTC,0
2009-06-22 00:00:00.000 UTC,0
2009-06-29 00:00:00.000 UTC,1
2009-07-06 00:00:00.000 UTC,0
2009-07-13 00:00:00.000 UTC,0
2009-07-20 00:00:00.000 UTC,0
2009-07-27 00:00:00.000 UTC,0
2009-08-03 00:00:00.000 UTC,0
2009-08-10 00:00:00.000 UTC,0
2009-08-17 00:00:00.000 UTC,0
2009-08-24 00:00:00.000 UTC,0
2009-08-31 00:00:00.000 UTC,0
2009-09-07 00:00:00.000 UTC,0
2009-09-14 00:00:00.000 UTC,1
2009-09-21 00:00:00.000 UTC,0
2009-09-28 00:00:00.000 UTC,0
2009-10-05 00:00:00.000 UTC,1
2009-10-12 00:00:00.000 UTC,2
2009-10-19 00:00:00.000 UTC,2
2009-10-26 00:00:00.000 UTC,1
2009-11-02 00:00:00.000 UTC,1
2009-11-09 00:00:00.000 UTC,2
2009-11-16 00:00:00.000 UTC,2
2009-11-23 00:00:00.000 UTC,0
2009-11-30 00:00:00.000 UTC,1
2009-12-07 00:00:00.000 UTC,4
2009-12-14 00:00:00.000 UTC,3
2009-12-21 00:00:00.000 UTC,0
2009-12-28 00:00:00.000 UTC,0
2010-01-04 00:00:00.000 UTC,2
2010-01-11 00:00:00.000 UTC,2
2010-01-18 00:00:00.000 UTC,3
2010-01-25 00:00:00.000 UTC,4
2010-02-01 00:00:00.000 UTC,5
2010-02-08 00:00:00.000 UTC,10
2010-02-15 00:00:00.000 UTC,8
2010-02-22 00:00:00.000 UTC,5
2010-03-01 00:00:00.000 UTC,6
2010-03-08 00:00:00.000 UTC,4
2010-03-15 00:00:00.000 UTC,3
2010-03-22 00:00:00.000 UTC,9
2010-03-29 00:00:00.000 UTC,3
2010-04-05 00:00:00.000 UTC,43
2010-04-12 00:00:00.000 UTC,3115
2010-04-19 00:00:00.000 UTC,60
2010-04-26 00:00:00.000 UTC,76
2010-05-03 00:00:00.000 UTC,71
2010-05-10 00:00:00.000 UTC,42
2010-05-17 00:00:00.000 UTC,89
2010-05-24 00:00:00.000 UTC,62
2010-05-31 00:00:00.000 UTC,38
2010-06-07 00:00:00.000 UTC,155
2010-06-14 00:00:00.000 UTC,222
2010-06-21 00:00:00.000 UTC,204
2010-06-28 00:00:00.000 UTC,159
2010-07-05 00:00:00.000 UTC,259
2010-07-12 00:00:00.000 UTC,9067
2010-07-19 00:00:00.000 UTC,3271
2010-07-26 00:00:00.000 UTC,1038
2010-08-02 00:00:00.000 UTC,1470
2010-08-09 00:00:00.000 UTC,1102
2010-08-16 00:00:00.000 UTC,1157
2010-08-23 00:00:00.000 UTC,917
2010-08-30 00:00:00.000 UTC,1107
2010-09-06 00:00:00.000 UTC,982
2010-09-13 00:00:00.000 UTC,1187
2010-09-20 00:00:00.000 UTC,2787
2010-09-27 00:00:00.000 UTC,2918
2010-10-04 00:00:00.000 UTC,1828
2010-10-11 00:00:00.000 UTC,1360
2010-10-18 00:00:00.000 UTC,3696
2010-10-25 00:00:00.000 UTC,2158
2010-11-01 00:00:00.000 UTC,1266
2010-11-08 00:00:00.000 UTC,1031
2010-11-15 00:00:00.000 UTC,8182
2010-11-22 00:00:00.000 UTC,2368
2010-11-29 00:00:00.000 UTC,1765
2010-12-06 00:00:00.000 UTC,2259
2010-12-13 00:00:00.000 UTC,2846
2010-12-20 00:00:00.000 UTC,3439
2010-12-27 00:00:00.000 UTC,3088
2011-01-03 00:00:00.000 UTC,4614
2011-01-10 00:00:00.000 UTC,5386
2011-01-17 00:00:00.000 UTC,6452
2011-01-24 00:00:00.000 UTC,8476
2011-01-31 00:00:00.000 UTC,5994
2011-02-07 00:00:00.000 UTC,10064
2011-02-14 00:00:00.000 UTC,13529
2011-02-21 00:00:00.000 UTC,13936
2011-02-28 00:00:00.000 UTC,15782
2011-03-07 00:00:00.000 UTC,14576
2011-03-14 00:00:00.000 UTC,15487
2011-03-21 00:00:00.000 UTC,19506
2011-03-28 00:00:00.000 UTC,16187
2011-04-04 00:00:00.000 UTC,14672
2011-04-11 00:00:00.000 UTC,18922
2011-04-18 00:00:00.000 UTC,20394
2011-04-25 00:00:00.000 UTC,28919
2011-05-02 00:00:00.000 UTC,25447
2011-05-09 00:00:00.000 UTC,30139
2011-05-16 00:00:00.000 UTC,41017
2011-05-23 00:00:00.000 UTC,44912
2011-05-30 00:00:00.000 UTC,60152
2011-06-06 00:00:00.000 UTC,97346
2011-06-13 00:00:00.000 UTC,108941
2011-06-20 00:00:00.000 UTC,88994
2011-06-27 00:00:00.000 UTC,81691
2011-07-04 00:00:00.000 UTC,80331
2011-07-11 00:00:00.000 UTC,73897
2011-07-18 00:00:00.000 UTC,76268
2011-07-25 00:00:00.000 UTC,70622
2011-08-01 00:00:00.000 UTC,69162
2011-08-08 00:00:00.000 UTC,73985
2011-08-15 00:00:00.000 UTC,67775
2011-08-22 00:00:00.000 UTC,62139
2011-08-29 00:00:00.000 UTC,65026
2011-09-05 00:00:00.000 UTC,68452
2011-09-12 00:00:00.000 UTC,57424
2011-09-19 00:00:00.000 UTC,61733
2011-09-26 00:00:00.000 UTC,51063
2011-10-03 00:00:00.000 UTC,50513
2011-10-10 00:00:00.000 UTC,49275
2011-10-17 00:00:00.000 UTC,43140
2011-10-24 00:00:00.000 UTC,45616
2011-10-31 00:00:00.000 UTC,49335
2011-11-07 00:00:00.000 UTC,50022
2011-11-14 00:00:00.000 UTC,44994
2011-11-21 00:00:00.000 UTC,36159
2011-11-28 00:00:00.000 UTC,48749
2011-12-05 00:00:00.000 UTC,45338
2011-12-12 00:00:00.000 UTC,35959
2011-12-19 00:00:00.000 UTC,37524
2011-12-26 00:00:00.000 UTC,35275
2012-01-02 00:00:00.000 UTC,43809
2012-01-09 00:00:00.000 UTC,49102
2012-01-16 00:00:00.000 UTC,45803
2012-01-23 00:00:00.000 UTC,48153
2012-01-30 00:00:00.000 UTC,49885
2012-02-06 00:00:00.000 UTC,50239
2012-02-13 00:00:00.000 UTC,55344
2012-02-20 00:00:00.000 UTC,50093
2012-02-27 00:00:00.000 UTC,49826
2012-03-05 00:00:00.000 UTC,46789
2012-03-12 00:00:00.000 UTC,48336
2012-03-19 00:00:00.000 UTC,45326
2012-03-26 00:00:00.000 UTC,49578
2012-04-02 00:00:00.000 UTC,52272
2012-04-09 00:00:00.000 UTC,58274
2012-04-16 00:00:00.000 UTC,61251
2012-04-23 00:00:00.000 UTC,57037
2012-04-30 00:00:00.000 UTC,71843
2012-05-07 00:00:00.000 UTC,91401
2012-05-14 00:00:00.000 UTC,128241
2012-05-21 00:00:00.000 UTC,131568
2012-05-28 00:00:00.000 UTC,125935
2012-06-04 00:00:00.000 UTC,153349
2012-06-11 00:00:00.000 UTC,178674
2012-06-18 00:00:00.000 UTC,139378
2012-06-25 00:00:00.000 UTC,150768
2012-07-02 00:00:00.000 UTC,137396
2012-07-09 00:00:00.000 UTC,145169
2012-07-16 00:00:00.000 UTC,181143
2012-07-23 00:00:00.000 UTC,156035
2012-07-30 00:00:00.000 UTC,182729
2012-08-06 00:00:00.000 UTC,169688
2012-08-13 00:00:00.000 UTC,235262
2012-08-20 00:00:00.000 UTC,188301
2012-08-27 00:00:00.000 UTC,171197
2012-09-03 00:00:00.000 UTC,177860
2012-09-10 00:00:00.000 UTC,148349
2012-09-17 00:00:00.000 UTC,138451
2012-09-24 00:00:00.000 UTC,158586
2012-10-01 00:00:00.000 UTC,182426
2012-10-08 00:00:00.000 UTC,168604
2012-10-15 00:00:00.000 UTC,188429
2012-10-22 00:00:00.000 UTC,138037
2012-10-29 00:00:00.000 UTC,122977
2012-11-05 00:00:00.000 UTC,149749
2012-11-12 00:00:00.000 UTC,158089
2012-11-19 00:00:00.000 UTC,163942
2012-11-26 00:00:00.000 UTC,145875
2012-12-03 00:00:00.000 UTC,168847
2012-12-10 00:00:00.000 UTC,166912
2012-12-17 00:00:00.000 UTC,184246
2012-12-24 00:00:00.000 UTC,164811
2012-12-31 00:00:00.000 UTC,169092
2013-01-07 00:00:00.000 UTC,236561
2013-01-14 00:00:00.000 UTC,217666
2013-01-21 00:00:00.000 UTC,230950
2013-01-28 00:00:00.000 UTC,227118
2013-02-04 00:00:00.000 UTC,242481
2013-02-11 00:00:00.000 UTC,212624
2013-02-18 00:00:00.000 UTC,216053
2013-02-25 00:00:00.000 UTC,237613
2013-03-04 00:00:00.000 UTC,240403
2013-03-11 00:00:00.000 UTC,225155
2013-03-18 00:00:00.000 UTC,270576
2013-03-25 00:00:00.000 UTC,285066
2013-04-01 00:00:00.000 UTC,358033
2013-04-08 00:00:00.000 UTC,381716
2013-04-15 00:00:00.000 UTC,329242
2013-04-22 00:00:00.000 UTC,305550
2013-04-29 00:00:00.000 UTC,278161
2013-05-06 00:00:00.000 UTC,298863
2013-05-13 00:00:00.000 UTC,277049
2013-05-20 00:00:00.000 UTC,292772
2013-05-27 00:00:00.000 UTC,268887
2013-06-03 00:00:00.000 UTC,281053
2013-06-10 00:00:00.000 UTC,256093
2013-06-17 00:00:00.000 UTC,266363
2013-06-24 00:00:00.000 UTC,241093
2013-07-01 00:00:00.000 UTC,248412
2013-07-08 00:00:00.000 UTC,290687
2013-07-15 00:00:00.000 UTC,250720
2013-07-22 00:00:00.000 UTC,272036
2013-07-29 00:00:00.000 UTC,340045
2013-08-05 00:00:00.000 UTC,310523
2013-08-12 00:00:00.000 UTC,360307
2013-08-19 00:00:00.000 UTC,361929
2013-08-26 00:00:00.000 UTC,358611
2013-09-02 00:00:00.000 UTC,296307
2013-09-09 00:00:00.000 UTC,283109
2013-09-16 00:00:00.000 UTC,310970
2013-09-23 00:00:00.000 UTC,312662
2013-09-30 00:00:00.000 UTC,338959
2013-10-07 00:00:00.000 UTC,312648
2013-10-14 00:00:00.000 UTC,338732
2013-10-21 00:00:00.000 UTC,402963
2013-10-28 00:00:00.000 UTC,351986
2013-11-04 00:00:00.000 UTC,538978
2013-11-11 00:00:00.000 UTC,493648
2013-11-18 00:00:00.000 UTC,754922
2013-11-25 00:00:00.000 UTC,748443
2013-12-02 00:00:00.000 UTC,677273
2013-12-09 00:00:00.000 UTC,598682
2013-12-16 00:00:00.000 UTC,622325
2013-12-23 00:00:00.000 UTC,531448
2013-12-30 00:00:00.000 UTC,502941
2014-01-06 00:00:00.000 UTC,542135
2014-01-13 00:00:00.000 UTC,476414
2014-01-20 00:00:00.000 UTC,564191
2014-01-27 00:00:00.000 UTC,581561
2014-02-03 00:00:00.000 UTC,640616
2014-02-10 00:00:00.000 UTC,671788
2014-02-17 00:00:00.000 UTC,720688
2014-02-24 00:00:00.000 UTC,816262
2014-03-03 00:00:00.000 UTC,836427
2014-03-10 00:00:00.000 UTC,734122
2014-03-17 00:00:00.000 UTC,670928
2014-03-24 00:00:00.000 UTC,673888
2014-03-31 00:00:00.000 UTC,683255
2014-04-07 00:00:00.000 UTC,726691
2014-04-14 00:00:00.000 UTC,712369
2014-04-21 00:00:00.000 UTC,656326
2014-04-28 00:00:00.000 UTC,616383
2014-05-05 00:00:00.000 UTC,649758
2014-05-12 00:00:00.000 UTC,686590
2014-05-19 00:00:00.000 UTC,700815
2014-05-26 00:00:00.000 UTC,716786
2014-06-02 00:00:00.000 UTC,738725
2014-06-09 00:00:00.000 UTC,698411
2014-06-16 00:00:00.000 UTC,690578
2014-06-23 00:00:00.000 UTC,691872
2014-06-30 00:00:00.000 UTC,684950
2014-07-07 00:00:00.000 UTC,753547
2014-07-14 00:00:00.000 UTC,665176
2014-07-21 00:00:00.000 UTC,714648
2014-07-28 00:00:00.000 UTC,711968
2014-08-04 00:00:00.000 UTC,757640
2014-08-11 00:00:00.000 UTC,819663
2014-08-18 00:00:00.000 UTC,792204
2014-08-25 00:00:00.000 UTC,742857
2014-09-01 00:00:00.000 UTC,713220
2014-09-08 00:00:00.000 UTC,858508
2014-09-15 00:00:00.000 UTC,789092
2014-09-22 00:00:00.000 UTC,818816
2014-09-29 00:00:00.000 UTC,788481
2014-10-06 00:00:00.000 UTC,827148
2014-10-13 00:00:00.000 UTC,868724
2014-10-20 00:00:00.000 UTC,859620
2014-10-27 00:00:00.000 UTC,889438
2014-11-03 00:00:00.000 UTC,935927
2014-11-10 00:00:00.000 UTC,909562
2014-11-17 00:00:00.000 UTC,879928
2014-11-24 00:00:00.000 UTC,910387
2014-12-01 00:00:00.000 UTC,941910
2014-12-08 00:00:00.000 UTC,956660
2014-12-15 00:00:00.000 UTC,1039804
2014-12-22 00:00:00.000 UTC,891976
2014-12-29 00:00:00.000 UTC,848138
2015-01-05 00:00:00.000 UTC,1010806
2015-01-12 00:00:00.000 UTC,1142067
2015-01-19 00:00:00.000 UTC,982665
2015-01-26 00:00:00.000 UTC,958886
2015-02-02 00:00:00.000 UTC,979129
2015-02-09 00:00:00.000 UTC,1048467
2015-02-16 00:00:00.000 UTC,1009469
2015-02-23 00:00:00.000 UTC,1058324
2015-03-02 00:00:00.000 UTC,1059628
2015-03-09 00:00:00.000 UTC,1001223
2015-03-16 00:00:00.000 UTC,987874
2015-03-23 00:00:00.000 UTC,964886
2015-03-30 00:00:00.000 UTC,1046677
2015-04-06 00:00:00.000 UTC,1047255
2015-04-13 00:00:00.000 UTC,986397
2015-04-20 00:00:00.000 UTC,1078984
2015-04-27 00:00:00.000 UTC,1017158
2015-05-04 00:00:00.000 UTC,1112174
2015-05-11 00:00:00.000 UTC,1071678
2015-05-18 00:00:00.000 UTC,1001807
2015-05-25 00:00:00.000 UTC,1172108
2015-06-01 00:00:00.000 UTC,1195159
2015-06-08 00:00:00.000 UTC,1217350
2015-06-15 00:00:00.000 UTC,1281167
2015-06-22 00:00:00.000 UTC,1194647
2015-06-29 00:00:00.000 UTC,1319642
2015-07-06 00:00:00.000 UTC,1509967
2015-07-13 00:00:00.000 UTC,1132500
2015-07-20 00:00:00.000 UTC,1194486
2015-07-27 00:00:00.000 UTC,1241900
2015-08-03 00:00:00.000 UTC,1206784
2015-08-10 00:00:00.000 UTC,1151537
2015-08-17 00:00:00.000 UTC,1218477
2015-08-24 00:00:00.000 UTC,1164534
2015-08-31 00:00:00.000 UTC,1207070
2015-09-07 00:00:00.000 UTC,1194083
2015-09-14 00:00:00.000 UTC,1277090
2015-09-21 00:00:00.000 UTC,1304383
2015-09-28 00:00:00.000 UTC,1342970
2015-10-05 00:00:00.000 UTC,1210245
2015-10-12 00:00:00.000 UTC,1350451
2015-10-19 00:00:00.000 UTC,1591376
2015-10-26 00:00:00.000 UTC,1543137
2015-11-02 00:00:00.000 UTC,1735137
2015-11-09 00:00:00.000 UTC,1560912
2015-11-16 00:00:00.000 UTC,1554634
2015-11-23 00:00:00.000 UTC,1517588
2015-11-30 00:00:00.000 UTC,1750535
2015-12-07 00:00:00.000 UTC,1987576
2015-12-14 00:00:00.000 UTC,2030840
2015-12-21 00:00:00.000 UTC,1771618
2015-12-28 00:00:00.000 UTC,1607780
2016-01-04 00:00:00.000 UTC,1811412
2016-01-11 00:00:00.000 UTC,1929260
2016-01-18 00:00:00.000 UTC,2104279
2016-01-25 00:00:00.000 UTC,2276796
2016-02-01 00:00:00.000 UTC,2426485
2016-02-08 00:00:00.000 UTC,1977157
2016-02-15 00:00:00.000 UTC,2083177
2016-02-22 00:00:00.000 UTC,2034886
2016-02-29 00:00:00.000 UTC,2144005
2016-03-07 00:00:00.000 UTC,1779607
2016-03-14 00:00:00.000 UTC,1776757
2016-03-21 00:00:00.000 UTC,1788871
2016-03-28 00:00:00.000 UTC,2130135
2016-04-04 00:00:00.000 UTC,1688487
2016-04-11 00:00:00.000 UTC,1870250
2016-04-18 00:00:00.000 UTC,1750784
2016-04-25 00:00:00.000 UTC,1899868
2016-05-02 00:00:00.000 UTC,1655728
2016-05-09 00:00:00.000 UTC,1752898
2016-05-16 00:00:00.000 UTC,1772243
2016-05-23 00:00:00.000 UTC,1843510
2016-05-30 00:00:00.000 UTC,1793820
2016-06-06 00:00:00.000 UTC,1734162
2016-06-13 00:00:00.000 UTC,2095141
2016-06-20 00:00:00.000 UTC,2086791
2016-06-27 00:00:00.000 UTC,1878512
2016-07-04 00:00:00.000 UTC,1746122
2016-07-11 00:00:00.000 UTC,1755696
2016-07-18 00:00:00.000 UTC,1769925
2016-07-25 00:00:00.000 UTC,1886662
2016-08-01 00:00:00.000 UTC,1867154
2016-08-08 00:00:00.000 UTC,1817606
2016-08-15 00:00:00.000 UTC,2039836
2016-08-22 00:00:00.000 UTC,1892432
2016-08-29 00:00:00.000 UTC,2019790
2016-09-05 00:00:00.000 UTC,1976650
2016-09-12 00:00:00.000 UTC,2134473
2016-09-19 00:00:00.000 UTC,1931043
2016-09-26 00:00:00.000 UTC,2062636
2016-10-03 00:00:00.000 UTC,2296510
2016-10-10 00:00:00.000 UTC,2159636
2016-10-17 00:00:00.000 UTC,2293688
2016-10-24 00:00:00.000 UTC,2360410
2016-10-31 00:00:00.000 UTC,2274203
2016-11-07 00:00:00.000 UTC,2368524
2016-11-14 00:00:00.000 UTC,2415504
2016-11-21 00:00:00.000 UTC,2686029
2016-11-28 00:00:00.000 UTC,2664000
2016-12-05 00:00:00.000 UTC,2829512
2016-12-12 00:00:00.000 UTC,2565779
2016-12-19 00:00:00.000 UTC,2615620
2016-12-26 00:00:00.000 UTC,2470484
2017-01-02 00:00:00.000 UTC,2648672
2017-01-09 00:00:00.000 UTC,2481118
2017-01-16 00:00:00.000 UTC,2535088
2017-01-23 00:00:00.000 UTC,2695259
2017-01-30 00:00:00.000 UTC,2813088
2017-02-06 00:00:00.000 UTC,2745617
